Timestamp,What School does your child attend?,My child or children have been attending this school for . . .,My child(ren) like(s) going to school.,My child's social-emotional needs are being met and (s)he feels safe at this school.,My child is encouraged to take positive academic risks at this school.,I feel welcome at my child's school.,My child's teachers communicate with me effectively.,This school communicates with me effectively.,I understand how to support my child's learning at home.,My school offers support to help me help my child's learning.,My child's school encourages me to actively engage in my child's education.,I'm aware of the traits my child's school is trying to develop in my child.,My child's school does things that help them develop these traits.,I see value in the way this school uses technology in teaching my child.,I believe my child's school experience is adequately preparing them for the real world.
2/22/2022 15:23:28,Lincoln School of Science and Technology (LSST),Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/22/2022 18:38:49,Lincoln School of Science and Technology (LSST),One to three years,Yes,Yes,No,Yes,Yes,Yes,Yes,Not that I am aware of,Never,Yes,No,Sort of,Neither agree nor disagree
2/23/2022 14:01:44,Lincoln School of Science and Technology (LSST),One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/23/2022 21:11:58,Lincoln School of Science and Technology (LSST),Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/25/2022 16:12:44,Lincoln School of Science and Technology (LSST),One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/26/2022 17:18:03,Lincoln School of Science and Technology (LSST),Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
1/26/2022 7:35:10,McKinley,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,On occasion,Yes,Yes,Yes,Strongly agree
1/27/2022 10:51:59,McKinley,One to three years,Yes,I'm not sure,I'm not sure,Not often,No,No,Yes,Yes,On occasion,Yes,I'm not sure,No,Neither agree nor disagree
2/1/2022 17:02:52,McKinley,Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/3/2022 12:56:41,McKinley,One to three years,Yes,Yes,Yes,Often,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,Rarely,No,No,No,Somewhat agree
2/3/2022 16:51:29,McKinley,One to three years,Yes,Yes,Yes,,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,Absolutely,Yes,Yes,Yes,Strongly agree
2/8/2022 17:06:34,McKinley,One to three years,Yes,I'm not sure,I'm not sure,Yes,No,Somewhat,"Yes, but I'd like to learn more about how to do this",Yes,On occasion,Yes,Yes,Yes,Somewhat agree
2/9/2022 7:00:24,McKinley,More than six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/17/2022 7:47:12,McKinley,Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not that I am aware of,On occasion,Yes,Yes,Yes,Strongly agree
2/17/2022 7:49:37,McKinley,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/17/2022 7:52:27,McKinley,One to three years,Yes,I'm not sure,I'm not sure,No,No,Not really,Yes,Not that I am aware of,On occasion,Yes,No,Sort of,Neither agree nor disagree
2/17/2022 7:54:13,McKinley,Less than one year,Yes,Yes,I'm not sure,Often,No,Somewhat,Yes,Yes,Absolutely,Yes,Yes,Sort of,Somewhat agree
2/17/2022 8:08:42,McKinley,Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/17/2022 8:19:54,McKinley,Three to six years,Yes,Yes,I'm not sure,Often,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/17/2022 8:21:01,McKinley,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not that I am aware of,Absolutely,No,I'm not sure,Yes,Strongly agree
2/17/2022 8:55:34,McKinley,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Sort of,Strongly agree
2/17/2022 9:03:48,McKinley,Three to six years,Yes,Yes,Yes,Often,No,Somewhat,"No, but I'm willing to learn how to do this better",Yes,Rarely,No,Yes,Yes,Neither agree nor disagree
2/17/2022 9:04:41,McKinley,One to three years,No,No,Yes,Yes,Yes,Not really,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/17/2022 9:11:00,McKinley,Three to six years,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Not that I am aware of,On occasion,Yes,Yes,Yes,Neither agree nor disagree
2/17/2022 10:10:09,McKinley,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not that I am aware of,Absolutely,Yes,Yes,Yes,Strongly agree
2/17/2022 10:12:47,McKinley,Less than one year,Yes,Yes,I'm not sure,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,On occasion,,I'm not sure,Yes,Somewhat agree
2/17/2022 10:48:47,McKinley,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/17/2022 11:31:17,McKinley,Three to six years,Yes,Yes,I'm not sure,Not often,Yes,Somewhat,"Yes, but I'd like to learn more about how to do this",Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/17/2022 14:04:22,McKinley,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/17/2022 15:21:01,McKinley,One to three years,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Not that I am aware of,On occasion,No,I'm not sure,Yes,Somewhat agree
2/17/2022 15:29:24,McKinley,Three to six years,Yes,Yes,Yes,Yes,Yes,Somewhat,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/17/2022 17:52:19,McKinley,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/17/2022 18:14:46,McKinley,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/17/2022 18:56:09,McKinley,Three to six years,Yes,Yes,No,Not often,Yes,No,Yes,Not that I am aware of,On occasion,No,I'm not sure,Yes,Somewhat agree
2/17/2022 20:31:50,McKinley,Less than one year,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Sort of,Somewhat agree
2/21/2022 14:30:46,McKinley,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Sort of,Neither agree nor disagree
2/22/2022 7:34:28,McKinley,One to three years,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,On occasion,Yes,Yes,Yes,Somewhat agree
2/8/2022 15:51:25,Washington,Three to six years,I'm not sure,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/8/2022 21:11:39,Washington,Three to six years,Yes,Yes,Yes,Not often,No,Somewhat,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/13/2022 16:07:12,Washington,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,On occasion,Yes,Yes,Yes,Strongly agree
2/13/2022 16:07:31,Washington,One to three years,Yes,Yes,Yes,Yes,Yes,Somewhat,Yes,Yes,On occasion,Yes,Yes,Yes,Somewhat agree
2/13/2022 16:07:46,Washington,Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/13/2022 16:07:46,Washington,Three to six years,No,No,I'm not sure,Not often,No,No,No,No,Rarely,No,No,Sort of,Somewhat Disagree
2/13/2022 16:07:46,Washington,Three to six years,Yes,Yes,Yes,Yes,Yes,Somewhat,Yes,Yes,Absolutely,Yes,Yes,Sort of,Somewhat agree
2/13/2022 16:07:55,Washington,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/13/2022 16:08:19,Washington,Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/13/2022 16:08:46,Washington,Three to six years,Yes,Yes,Yes,Yes,Yes,Somewhat,Yes,Yes,Absolutely,Yes,Yes,Sort of,Somewhat agree
2/13/2022 16:08:51,Washington,Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/13/2022 16:08:56,Washington,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Sort of,Strongly agree
2/13/2022 16:09:12,Washington,Three to six years,Yes,Yes,Yes,Often,No,Somewhat,Yes,Not that I am aware of,On occasion,Yes,Yes,Yes,Somewhat agree
2/13/2022 16:09:16,Washington,One to three years,Yes,Yes,No,Yes,Yes,Not really,Yes,Yes,On occasion,Yes,No,Sort of,Somewhat agree
2/13/2022 16:09:25,Washington,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,On occasion,Yes,Yes,Yes,Somewhat agree
2/13/2022 16:09:28,Washington,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/13/2022 16:09:41,Washington,Three to six years,Yes,I'm not sure,I'm not sure,No,No,No,"No, but I'm willing to learn how to do this better",Not that I am aware of,Rarely,No,I'm not sure,Sort of,Somewhat Disagree
2/13/2022 16:10:27,Washington,Three to six years,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,On occasion,Yes,Yes,Sort of,Somewhat agree
2/13/2022 16:10:55,Washington,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/13/2022 16:16:28,Washington,Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/13/2022 16:28:20,Washington,Less than one year,Yes,Yes,I'm not sure,Yes,No,Somewhat,"Yes, but I'd like to learn more about how to do this",Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/13/2022 16:31:25,Washington,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Sort of,Strongly agree
2/13/2022 16:31:51,Washington,Less than one year,Yes,Yes,I'm not sure,Often,No,No,"No, but I'm willing to learn how to do this better",Not that I am aware of,On occasion,No,I'm not sure,No,Neither agree nor disagree
2/13/2022 16:39:35,Washington,Less than one year,No,No,Yes,Often,Yes,Somewhat,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,Rarely,Yes,I'm not sure,No,Neither agree nor disagree
2/13/2022 16:39:51,Washington,One to three years,Yes,Yes,Yes,Yes,No,Somewhat,"Yes, but I'd like to learn more about how to do this",Yes,On occasion,Yes,Yes,Yes,Strongly agree
2/13/2022 16:44:08,Washington,One to three years,Yes,Yes,I'm not sure,Not often,No,Somewhat,"No, but I'm willing to learn how to do this better",Not that I am aware of,On occasion,No,No,Sort of,Strongly disagree
2/13/2022 16:46:05,Washington,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/13/2022 16:50:55,Washington,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/13/2022 16:58:07,Washington,Three to six years,Yes,I'm not sure,I'm not sure,Yes,No,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Neither agree nor disagree
2/13/2022 17:11:04,Washington,Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/13/2022 17:12:48,Washington,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/13/2022 17:17:26,Washington,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/13/2022 17:37:12,Washington,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/13/2022 18:06:55,Washington,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/13/2022 18:08:21,Washington,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/13/2022 20:00:33,Washington,Three to six years,Yes,Yes,Yes,Often,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,On occasion,Yes,Yes,Yes,Strongly agree
2/13/2022 20:39:44,Washington,Three to six years,Yes,Yes,Yes,Yes,Yes,Somewhat,Yes,Yes,On occasion,Yes,Yes,Sort of,Neither agree nor disagree
2/14/2022 1:59:52,Washington,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/14/2022 6:10:05,Washington,Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/14/2022 8:27:29,Washington,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/14/2022 8:29:56,Washington,Three to six years,Yes,Yes,Yes,Yes,Yes,Somewhat,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/14/2022 8:56:17,Washington,One to three years,Yes,Yes,Yes,Not often,Yes,Yes,Yes,Yes,On occasion,Yes,Yes,Sort of,Somewhat agree
2/14/2022 16:11:58,Washington,Three to six years,Yes,No,Yes,Often,No,Yes,"Yes, but I'd like to learn more about how to do this",Yes,Absolutely,Yes,Yes,Sort of,Somewhat agree
2/14/2022 21:26:12,Washington,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/15/2022 8:21:45,Washington,Three to six years,No,I'm not sure,Yes,Often,Yes,Somewhat,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,Absolutely,Yes,Yes,Sort of,Somewhat agree
2/15/2022 13:48:59,Washington,One to three years,Yes,Yes,Yes,Not often,Yes,Yes,"No, but I'm willing to learn how to do this better",Not that I am aware of,Rarely,Yes,Yes,Yes,Somewhat agree
2/16/2022 6:32:31,Washington,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat Disagree
2/16/2022 18:21:53,Washington,Three to six years,Yes,Yes,I'm not sure,Yes,No,Yes,"No, but I'm willing to learn how to do this better",Yes,On occasion,Yes,Yes,Yes,Strongly agree
2/17/2022 11:51:51,Washington,One to three years,Yes,I'm not sure,I'm not sure,Yes,Yes,Somewhat,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/17/2022 12:11:34,Washington,Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/17/2022 12:43:11,Washington,Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Yes,Absolutely,Yes,Yes,Sort of,Somewhat agree
2/17/2022 12:47:47,Washington,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/17/2022 13:00:48,Washington,One to three years,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,
2/17/2022 13:54:54,Washington,Three to six years,No,No,I'm not sure,Yes,No,Not really,Yes,Not that I am aware of,Rarely,No,I'm not sure,Sort of,Somewhat Disagree
2/17/2022 14:53:33,Washington,More than six years,Yes,I'm not sure,I'm not sure,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/17/2022 14:58:41,Washington,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/18/2022 9:12:18,Washington,One to three years,Yes,Yes,Yes,Often,Yes,Somewhat,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/19/2022 15:41:12,Washington,Less than one year,Yes,I'm not sure,I'm not sure,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/21/2022 9:24:14,Washington,Less than one year,Yes,Yes,I'm not sure,Often,Yes,Not really,"No, but I'm willing to learn how to do this better",No,On occasion,Yes,Yes,Yes,Strongly disagree
2/23/2022 13:28:34,Washington,One to three years,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Absolutely,Yes,Yes,Sort of,Neither agree nor disagree
2/24/2022 9:03:39,Washington,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not that I am aware of,Absolutely,Yes,Yes,Yes,Strongly agree
2/27/2022 18:17:55,Washington,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,On occasion,Yes,Yes,Yes,Somewhat agree
2/27/2022 18:41:21,Washington,Three to six years,Yes,I'm not sure,Yes,Not often,No,No,Yes,No,On occasion,Yes,I'm not sure,Sort of,Somewhat Disagree
2/27/2022 19:39:11,Washington,Three to six years,Yes,I'm not sure,I'm not sure,Not often,No,No,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,Rarely,No,I'm not sure,No,Somewhat Disagree
2/28/2022 7:19:56,Washington,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not that I am aware of,Absolutely,Yes,I'm not sure,Yes,Strongly agree
2/28/2022 21:47:54,Washington,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/28/2022 22:28:35,Washington,Three to six years,Yes,Yes,Yes,Not often,Yes,No,Yes,Yes,Absolutely,Yes,Yes,No,Somewhat agree
3/2/2022 17:13:31,Washington,One to three years,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
1/25/2022 15:48:54,,Three to six years,Yes,Yes,No,Often,No,Somewhat,Yes,Yes,On occasion,Yes,Yes,Yes,Somewhat agree
1/25/2022 20:06:26,,One to three years,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat Disagree
1/31/2022 16:05:16,,Less than one year,No,Yes,I'm not sure,Not often,No,Somewhat,No,Not that I am aware of,Rarely,Yes,I'm not sure,Sort of,Neither agree nor disagree
1/31/2022 16:06:23,,More than six years,Yes,Yes,Yes,Not often,No,Somewhat,Yes,Yes,On occasion,Yes,Yes,Yes,Somewhat agree
1/31/2022 17:10:55,,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/1/2022 8:00:36,,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/1/2022 9:23:26,,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/1/2022 21:11:36,,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/3/2022 12:02:09,,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/3/2022 13:46:16,,Three to six years,Yes,Yes,Yes,Yes,Yes,Somewhat,Yes,Not that I am aware of,Absolutely,No,I'm not sure,Sort of,Somewhat agree
2/4/2022 16:46:56,,One to three years,I'm not sure,Yes,,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Neither agree nor disagree
2/8/2022 15:11:32,,Less than one year,Yes,Yes,I'm not sure,Often,No,Somewhat,"No, but I'm willing to learn how to do this better",Not that I am aware of,Rarely,No,I'm not sure,Sort of,Somewhat agree
2/8/2022 15:23:23,,One to three years,Yes,Yes,Yes,Often,Yes,Yes,Yes,Not that I am aware of,On occasion,Yes,I'm not sure,Sort of,Neither agree nor disagree
2/8/2022 15:34:30,,Less than one year,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,Yes,On occasion,Yes,Yes,Yes,Strongly agree
2/8/2022 15:38:36,,Less than one year,I'm not sure,Yes,I'm not sure,Yes,No,Yes,"No, but I'm willing to learn how to do this better",Not that I am aware of,Rarely,No,I'm not sure,Yes,Neither agree nor disagree
2/8/2022 15:58:45,,More than six years,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Not that I am aware of,On occasion,No,I'm not sure,Sort of,Somewhat Disagree
2/8/2022 17:03:51,,Less than one year,Yes,I'm not sure,I'm not sure,Yes,No,Yes,"No, but I'm willing to learn how to do this better",Not that I am aware of,Rarely,No,I'm not sure,Yes,Strongly agree
2/8/2022 17:17:08,,One to three years,Yes,Yes,I'm not sure,Often,No,Somewhat,Yes,Not that I am aware of,On occasion,No,I'm not sure,Sort of,Somewhat Disagree
2/8/2022 18:05:50,,Three to six years,I'm not sure,I'm not sure,I'm not sure,Often,No,Not really,Yes,Not that I am aware of,On occasion,Yes,I'm not sure,Yes,Somewhat agree
2/9/2022 18:04:26,,Three to six years,Yes,Yes,I'm not sure,Often,No,Somewhat,Yes,Not that I am aware of,On occasion,Yes,I'm not sure,Sort of,Neither agree nor disagree
2/13/2022 16:07:28,,More than six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,On occasion,Yes,Yes,Yes,Somewhat agree
2/13/2022 18:01:16,,One to three years,Yes,Yes,Yes,Not often,Yes,Somewhat,Yes,Not that I am aware of,Absolutely,Yes,Yes,,Somewhat agree
2/13/2022 18:07:10,,,,,,,,,,,,,,,Strongly agree
2/13/2022 19:53:52,,Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/14/2022 13:03:04,,One to three years,Yes,Yes,I'm not sure,Not often,No,Yes,Yes,Not that I am aware of,On occasion,Yes,I'm not sure,No,Neither agree nor disagree
2/14/2022 13:03:13,,Less than one year,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/14/2022 13:04:12,,Three to six years,Yes,Yes,No,Not often,No,Somewhat,Yes,Not that I am aware of,On occasion,Yes,Yes,Sort of,Somewhat Disagree
2/14/2022 13:10:25,,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Yes,On occasion,Yes,Yes,Yes,Somewhat agree
2/14/2022 13:21:51,,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/14/2022 13:46:23,,More than six years,No,No,Yes,Often,Yes,Not really,Yes,Yes,Absolutely,Yes,Yes,Sort of,Somewhat agree
2/14/2022 14:00:58,,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,On occasion,Yes,Yes,Yes,Strongly agree
2/14/2022 15:07:40,,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,On occasion,Yes,Yes,Yes,Strongly agree
2/14/2022 17:05:42,,Less than one year,Yes,Yes,Yes,Often,No,Somewhat,Yes,Not that I am aware of,On occasion,Yes,Yes,Yes,Somewhat agree
2/16/2022 10:27:48,,,,,,,,,,,,,,,
2/17/2022 14:31:32,,Less than one year,I'm not sure,Yes,Yes,Not often,Yes,Yes,"No, but I'm willing to learn how to do this better",Yes,On occasion,No,I'm not sure,Yes,Strongly agree
2/17/2022 14:42:38,,One to three years,Yes,Yes,Yes,Yes,,Somewhat,"No, but I'm willing to learn how to do this better",Not that I am aware of,On occasion,,,Yes,Somewhat agree
2/17/2022 14:51:27,,Three to six years,No,Yes,No,Often,Yes,Not really,Yes,Not that I am aware of,Rarely,Yes,I'm not sure,Sort of,Strongly disagree
2/17/2022 15:01:18,,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/17/2022 18:13:10,,More than six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/17/2022 18:13:51,,More than six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/18/2022 12:08:34,,,,,,,,,,,,,,,
2/20/2022 14:32:13,,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,,Strongly agree
2/21/2022 15:08:55,,One to three years,Yes,Yes,I'm not sure,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Yes,On occasion,Yes,I'm not sure,Sort of,Somewhat agree
2/22/2022 6:15:20,,Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/22/2022 11:30:04,,More than six years,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/23/2022 11:57:40,,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not that I am aware of,On occasion,Yes,Yes,Yes,Somewhat agree
2/23/2022 12:32:36,,Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/23/2022 15:03:54,,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/24/2022 9:39:51,,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
3/8/2022 16:56:41,,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Yes,Absolutely,Yes,Yes,Yes,Strongly agree
3/10/2022 20:26:29,CCHS,One to three years,Yes,Yes,Yes,Often,No,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
